Title,MSRP,BID,Condition,Time remaining,Image url,url
"Lot 1 - 8BitDo Ultimate 2.4g Wireless Controller With Charging Dock, 2.4g Controller for",49.99$,8.0$,"Used, Good Condition",4:34:34,https://vistaauction.blob.core.windows.net/assets/media/0df058e0-1f94-4ab6-a13b-3e4ed173e1b8_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360599612/8BitDo-Ultimate-24g-Wireless-Controller-With-Charging-Dock-24g-Controller-for
Lot 2 - KYB SM5514 - Mount Plate,42.57$,2.0$,New,4:34:45,https://vistaauction.blob.core.windows.net/assets/media/71bb5651-dbf9-4b53-be89-db6b9610307d_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360599802/KYB-SM5514-Mount-Plate
"Lot 4 - Flexzilla Garden Hose 5/8 in. x 50 ft, Heavy Duty, Lightweight, Drinking Water S",39.79$,9.0$,"Used, Good Condition, dirty",4:35:08,https://vistaauction.blob.core.windows.net/assets/media/9b6bad8d-f6c3-4502-921d-8f3dd5636fef_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360600184/Flexzilla-Garden-Hose-58-in-x-50-ft-Heavy-Duty-Lightweight-Drinking-Water-S
Lot 5 - Empire Brass J68-OFS Tub/Shower Diverter,72.21$,1.0$,Lightly Used,4:35:19,https://vistaauction.blob.core.windows.net/assets/media/79cade52-a3ce-454c-9799-88d61538156a_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360600334/Empire-Brass-J68OFS-TubShower-Diverter
"Lot 7 - SL SPIRIT LINEN HOME EST. 1988 - King Sheet Set, Super Soft Pleated Microfiber B",39.97$,22.05$,New,4:35:42,https://vistaauction.blob.core.windows.net/assets/media/422a0fcc-8941-40bc-b6f0-288ca885a632_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360600722/SL-SPIRIT-LINEN-HOME-EST-1988-King-Sheet-Set-Super-Soft-Pleated-Microfiber-B
"Lot 8 - Chefman Anti-Overflow Belgian Waffle Maker w/Shade Selector, Temperature Control",39.99$,12.0$,"New, bottom broken look at the photo",4:35:53,https://vistaauction.blob.core.windows.net/assets/media/97b05f34-4cbf-46b6-bc10-4fa76b0f0c95_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360600913/Chefman-AntiOverflow-Belgian-Waffle-Maker-wShade-Selector-Temperature-Control
"Lot 12 - V-Line Top Draw Locking Tactical Gun Storage Box, Black",203.29$,20.0$,New,4:36:39,https://vistaauction.blob.core.windows.net/assets/media/f8c5b74a-edba-4643-b58d-a4f8a949af78_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360601679/VLine-Top-Draw-Locking-Tactical-Gun-Storage-Box-Black
"Lot 14 - Pasta Maker Machine, 150 Roller Pasta Maker, 7 Adjustable Thickness Settings, 2-",54.99$,8.0$,"Used, dirty",4:37:01,https://vistaauction.blob.core.windows.net/assets/media/51deda94-96c0-4bdc-b984-5141c731df54_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360602061/Pasta-Maker-Machine-150-Roller-Pasta-Maker-7-Adjustable-Thickness-Settings-2
"Lot 19 - Braun All-in-One Style Kit Series 3 3460, 6-in-1 Trimmer for Men with Beard Trim",34.94$,5.0$,Lightly Used,4:37:58,https://vistaauction.blob.core.windows.net/assets/media/029fa1ce-3944-4986-a38f-559d617bc78f_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360602980/Braun-AllinOne-Style-Kit-Series-3-3460-6in1-Trimmer-for-Men-with-Beard-Trim
"Lot 21 - BLACK+DECKER dustbuster QuickClean Cordless Handheld Vacuum, White (HNVC215B10)",37.83$,8.2$,Lightly Used,4:38:20,https://vistaauction.blob.core.windows.net/assets/media/23f63cd9-af9e-4014-b173-44f9c8f41827_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360603364/BLACKDECKER-dustbuster-QuickClean-Cordless-Handheld-Vacuum-White-HNVC215B10
